Applicant ID,Applicant Name,Interview Date,Experience (Years),Education,Interview Round,Technical Score,HR Score,Final Status,Location,Department
APP-0024,Applicant 24,2026-08-17,4,Bachelors,Screening,85,99,In Progress,Austin,Engineering
APP-0025,Applicant 25,2026-08-16,11,Masters,Final,98,75,Offer,New York,Product
APP-0026,Applicant 26,2026-08-15,3,PhD,HR,70,92,Rejected,San Francisco,Marketing
APP-0027,Applicant 27,2026-08-14,10,High School,Technical,83,68,In Progress,London,Sales
APP-0028,Applicant 28,2026-08-13,2,Bachelors,Screening,96,85,In Progress,Remote,Engineering
APP-0029,Applicant 29,2026-08-12,9,Masters,Final,68,61,In Progress,Austin,Product
APP-0030,Applicant 30,2026-08-11,1,PhD,HR,81,78,Offer,New York,Marketing
APP-0031,Applicant 31,2026-08-10,8,High School,Technical,94,95,Rejected,San Francisco,Sales
APP-0032,Applicant 32,2026-08-09,15,Bachelors,Screening,66,71,In Progress,London,Engineering
APP-0033,Applicant 33,2026-08-08,7,Masters,Final,79,88,In Progress,Remote,Product
APP-0034,Applicant 34,2026-08-07,14,PhD,HR,92,64,In Progress,Austin,Marketing
APP-0035,Applicant 35,2026-08-06,6,High School,Technical,64,81,Offer,New York,Sales
APP-0036,Applicant 36,2026-08-05,13,Bachelors,Screening,77,98,Rejected,San Francisco,Engineering
APP-0037,Applicant 37,2026-08-04,5,Masters,Final,90,74,In Progress,London,Product
APP-0038,Applicant 38,2026-08-03,12,PhD,HR,62,91,In Progress,Remote,Marketing
APP-0039,Applicant 39,2026-08-02,4,High School,Technical,75,67,In Progress,Austin,Sales
APP-0040,Applicant 40,2026-08-01,11,Bachelors,Screening,88,84,Offer,New York,Engineering
APP-0041,Applicant 41,2026-07-31,3,Masters,Final,60,60,Rejected,San Francisco,Product
APP-0042,Applicant 42,2026-07-30,10,PhD,HR,73,77,In Progress,London,Marketing
APP-0043,Applicant 43,2026-07-29,2,High School,Technical,86,94,In Progress,Remote,Sales
APP-0044,Applicant 44,2026-07-28,9,Bachelors,Screening,99,70,In Progress,Austin,Engineering
APP-0045,Applicant 45,2026-07-27,1,Masters,Final,71,87,Offer,New York,Product
APP-0046,Applicant 46,2026-07-26,8,PhD,HR,84,63,Rejected,San Francisco,Marketing
APP-0047,Applicant 47,2026-07-25,15,High School,Technical,97,80,In Progress,London,Sales
APP-0048,Applicant 48,2026-07-24,7,Bachelors,Screening,69,97,In Progress,Remote,Engineering
APP-0049,Applicant 49,2026-07-23,14,Masters,Final,82,73,In Progress,Austin,Product
APP-0050,Applicant 50,2026-07-22,6,PhD,HR,95,90,Offer,New York,Marketing
APP-0051,Applicant 51,2026-07-21,13,High School,Technical,67,66,Rejected,San Francisco,Sales
APP-0052,Applicant 52,2026-07-20,5,Bachelors,Screening,80,83,In Progress,London,Engineering
APP-0053,Applicant 53,2026-07-19,12,Masters,Final,93,100,In Progress,Remote,Product
APP-0054,Applicant 54,2026-07-18,4,PhD,HR,65,76,In Progress,Austin,Marketing
APP-0055,Applicant 55,2026-07-17,11,High School,Technical,78,93,Offer,New York,Sales
APP-0056,Applicant 56,2026-07-16,3,Bachelors,Screening,91,69,Rejected,San Francisco,Engineering
APP-0057,Applicant 57,2026-07-15,10,Masters,Final,63,86,In Progress,London,Product
APP-0058,Applicant 58,2026-07-14,2,PhD,HR,76,62,In Progress,Remote,Marketing
APP-0059,Applicant 59,2026-07-13,9,High School,Technical,89,79,In Progress,Austin,Sales
APP-0060,Applicant 60,2026-07-12,1,Bachelors,Screening,61,96,Offer,New York,Engineering
APP-0061,Applicant 61,2026-07-11,8,Masters,Final,74,72,Rejected,San Francisco,Product
APP-0062,Applicant 62,2026-07-10,15,PhD,HR,87,89,In Progress,London,Marketing
APP-0063,Applicant 63,2026-07-09,7,High School,Technical,100,65,In Progress,Remote,Sales
APP-0064,Applicant 64,2026-07-08,14,Bachelors,Screening,72,82,In Progress,Austin,Engineering
APP-0065,Applicant 65,2026-07-07,6,Masters,Final,85,99,Offer,New York,Product
APP-0066,Applicant 66,2026-07-06,13,PhD,HR,98,75,Rejected,San Francisco,Marketing
APP-0067,Applicant 67,2026-07-05,5,High School,Technical,70,92,In Progress,London,Sales
APP-0068,Applicant 68,2026-07-04,12,Bachelors,Screening,83,68,In Progress,Remote,Engineering
APP-0069,Applicant 69,2026-07-03,4,Masters,Final,96,85,In Progress,Austin,Product
APP-0070,Applicant 70,2026-07-02,11,PhD,HR,68,61,Offer,New York,Marketing
APP-0071,Applicant 71,2026-07-01,3,High School,Technical,81,78,Rejected,San Francisco,Sales
APP-0072,Applicant 72,2026-06-30,10,Bachelors,Screening,94,95,In Progress,London,Engineering
APP-0073,Applicant 73,2026-06-29,2,Masters,Final,66,71,In Progress,Remote,Product
APP-0074,Applicant 74,2026-06-28,9,PhD,HR,79,88,In Progress,Austin,Marketing
APP-0075,Applicant 75,2026-06-27,1,High School,Technical,92,64,Offer,New York,Sales
APP-0076,Applicant 76,2026-06-26,8,Bachelors,Screening,64,81,Rejected,San Francisco,Engineering
APP-0077,Applicant 77,2026-06-25,15,Masters,Final,77,98,In Progress,London,Product
APP-0078,Applicant 78,2026-06-24,7,PhD,HR,90,74,In Progress,Remote,Marketing
APP-0079,Applicant 79,2026-06-23,14,High School,Technical,62,91,In Progress,Austin,Sales
APP-0080,Applicant 80,2026-06-22,6,Bachelors,Screening,75,67,Offer,New York,Engineering
APP-0081,Applicant 81,2026-06-21,13,Masters,Final,88,84,Rejected,San Francisco,Product
APP-0082,Applicant 82,2026-06-20,5,PhD,HR,60,60,In Progress,London,Marketing
APP-0083,Applicant 83,2026-06-19,12,High School,Technical,73,77,In Progress,Remote,Sales
APP-0084,Applicant 84,2026-06-18,4,Bachelors,Screening,86,94,In Progress,Austin,Engineering
APP-0085,Applicant 85,2026-06-17,11,Masters,Final,99,70,Offer,New York,Product
APP-0086,Applicant 86,2026-06-16,3,PhD,HR,71,87,Rejected,San Francisco,Marketing
APP-0087,Applicant 87,2026-06-15,10,High School,Technical,84,63,In Progress,London,Sales
APP-0088,Applicant 88,2026-06-14,2,Bachelors,Screening,97,80,In Progress,Remote,Engineering
APP-0089,Applicant 89,2026-06-13,9,Masters,Final,69,97,In Progress,Austin,Product
APP-0090,Applicant 90,2026-06-12,1,PhD,HR,82,73,Offer,New York,Marketing
APP-0091,Applicant 91,2026-06-11,8,High School,Technical,95,90,Rejected,San Francisco,Sales
APP-0092,Applicant 92,2026-06-10,15,Bachelors,Screening,67,66,In Progress,London,Engineering
APP-0093,Applicant 93,2026-06-09,7,Masters,Final,80,83,In Progress,Remote,Product
APP-0094,Applicant 94,2026-06-08,14,PhD,HR,93,100,In Progress,Austin,Marketing
APP-0095,Applicant 95,2026-06-07,6,High School,Technical,65,76,Offer,New York,Sales
APP-0096,Applicant 96,2026-06-06,13,Bachelors,Screening,78,93,Rejected,San Francisco,Engineering
APP-0097,Applicant 97,2026-06-05,5,Masters,Final,91,69,In Progress,London,Product
APP-0098,Applicant 98,2026-06-04,12,PhD,HR,63,86,In Progress,Remote,Marketing
APP-0099,Applicant 99,2026-06-03,4,High School,Technical,76,62,In Progress,Austin,Sales
APP-0100,Applicant 100,2026-06-02,11,Bachelors,Screening,89,79,Offer,New York,Engineering
APP-0101,Applicant 101,2026-06-01,3,Masters,Final,61,96,Rejected,San Francisco,Product
APP-0102,Applicant 102,2026-05-31,10,PhD,HR,74,72,In Progress,London,Marketing
APP-0103,Applicant 103,2026-05-30,2,High School,Technical,87,89,In Progress,Remote,Sales
APP-0104,Applicant 104,2026-05-29,9,Bachelors,Screening,100,65,In Progress,Austin,Engineering
APP-0105,Applicant 105,2026-05-28,1,Masters,Final,72,82,Offer,New York,Product
APP-0106,Applicant 106,2026-05-27,8,PhD,HR,85,99,Rejected,San Francisco,Marketing
APP-0107,Applicant 107,2026-05-26,15,High School,Technical,98,75,In Progress,London,Sales
APP-0108,Applicant 108,2026-05-25,7,Bachelors,Screening,70,92,In Progress,Remote,Engineering
APP-0109,Applicant 109,2026-05-24,14,Masters,Final,83,68,In Progress,Austin,Product
APP-0110,Applicant 110,2026-05-23,6,PhD,HR,96,85,Offer,New York,Marketing
APP-0111,Applicant 111,2026-05-22,13,High School,Technical,68,61,Rejected,San Francisco,Sales
APP-0112,Applicant 112,2026-05-21,5,Bachelors,Screening,81,78,In Progress,London,Engineering
APP-0113,Applicant 113,2026-05-20,12,Masters,Final,94,95,In Progress,Remote,Product
APP-0114,Applicant 114,2026-05-19,4,PhD,HR,66,71,In Progress,Austin,Marketing
APP-0115,Applicant 115,2026-05-18,11,High School,Technical,79,88,Offer,New York,Sales
APP-0116,Applicant 116,2026-05-17,3,Bachelors,Screening,92,64,Rejected,San Francisco,Engineering
APP-0117,Applicant 117,2026-05-16,10,Masters,Final,64,81,In Progress,London,Product
APP-0118,Applicant 118,2026-05-15,2,PhD,HR,77,98,In Progress,Remote,Marketing
APP-0119,Applicant 119,2026-05-14,9,High School,Technical,90,74,In Progress,Austin,Sales
APP-0120,Applicant 120,2026-05-13,1,Bachelors,Screening,62,91,Offer,New York,Engineering
APP-0121,Applicant 121,2026-05-12,8,Masters,Final,75,67,Rejected,San Francisco,Product
APP-0122,Applicant 122,2026-05-11,15,PhD,HR,88,84,In Progress,London,Marketing
APP-0123,Applicant 123,2026-05-10,7,High School,Technical,60,60,In Progress,Remote,Sales
APP-0124,Applicant 124,2026-05-09,14,Bachelors,Screening,73,77,In Progress,Austin,Engineering
APP-0125,Applicant 125,2026-05-08,6,Masters,Final,86,94,Offer,New York,Product
APP-0126,Applicant 126,2026-05-07,13,PhD,HR,99,70,Rejected,San Francisco,Marketing
APP-0127,Applicant 127,2026-05-06,5,High School,Technical,71,87,In Progress,London,Sales
APP-0128,Applicant 128,2026-05-05,12,Bachelors,Screening,84,63,In Progress,Remote,Engineering
APP-0129,Applicant 129,2026-05-04,4,Masters,Final,97,80,In Progress,Austin,Product
APP-0130,Applicant 130,2026-05-03,11,PhD,HR,69,97,Offer,New York,Marketing
APP-0131,Applicant 131,2026-05-02,3,High School,Technical,82,73,Rejected,San Francisco,Sales
APP-0132,Applicant 132,2026-05-01,10,Bachelors,Screening,95,90,In Progress,London,Engineering
APP-0133,Applicant 133,2026-04-30,2,Masters,Final,67,66,In Progress,Remote,Product
APP-0134,Applicant 134,2026-04-29,9,PhD,HR,80,83,In Progress,Austin,Marketing
APP-0135,Applicant 135,2026-04-28,1,High School,Technical,93,100,Offer,New York,Sales
APP-0136,Applicant 136,2026-04-27,8,Bachelors,Screening,65,76,Rejected,San Francisco,Engineering
APP-0137,Applicant 137,2026-04-26,15,Masters,Final,78,93,In Progress,London,Product
APP-0138,Applicant 138,2026-04-25,7,PhD,HR,91,69,In Progress,Remote,Marketing
APP-0139,Applicant 139,2026-04-24,14,High School,Technical,63,86,In Progress,Austin,Sales
APP-0140,Applicant 140,2026-04-23,6,Bachelors,Screening,76,62,Offer,New York,Engineering
APP-0141,Applicant 141,2026-04-22,13,Masters,Final,89,79,Rejected,San Francisco,Product
APP-0142,Applicant 142,2026-04-21,5,PhD,HR,61,96,In Progress,London,Marketing
APP-0143,Applicant 143,2026-04-20,12,High School,Technical,74,72,In Progress,Remote,Sales
APP-0144,Applicant 144,2026-04-19,4,Bachelors,Screening,87,89,In Progress,Austin,Engineering
APP-0145,Applicant 145,2026-04-18,11,Masters,Final,100,65,Offer,New York,Product
APP-0146,Applicant 146,2026-04-17,3,PhD,HR,72,82,Rejected,San Francisco,Marketing
APP-0147,Applicant 147,2026-04-16,10,High School,Technical,85,99,In Progress,London,Sales
APP-0148,Applicant 148,2026-04-15,2,Bachelors,Screening,98,75,In Progress,Remote,Engineering
APP-0149,Applicant 149,2026-04-14,9,Masters,Final,70,92,In Progress,Austin,Product
APP-0150,Applicant 150,2026-04-13,1,PhD,HR,83,68,Offer,New York,Marketing
APP-0151,Applicant 151,2026-04-12,8,High School,Technical,96,85,Rejected,San Francisco,Sales
APP-0152,Applicant 152,2026-04-11,15,Bachelors,Screening,68,61,In Progress,London,Engineering
APP-0153,Applicant 153,2026-04-10,7,Masters,Final,81,78,In Progress,Remote,Product
APP-0154,Applicant 154,2026-04-09,14,PhD,HR,94,95,In Progress,Austin,Marketing
APP-0155,Applicant 155,2026-04-08,6,High School,Technical,66,71,Offer,New York,Sales
APP-0156,Applicant 156,2026-04-07,13,Bachelors,Screening,79,88,Rejected,San Francisco,Engineering
APP-0157,Applicant 157,2026-04-06,5,Masters,Final,92,64,In Progress,London,Product
APP-0158,Applicant 158,2026-04-05,12,PhD,HR,64,81,In Progress,Remote,Marketing
APP-0159,Applicant 159,2026-04-04,4,High School,Technical,77,98,In Progress,Austin,Sales
APP-0160,Applicant 160,2026-04-03,11,Bachelors,Screening,90,74,Offer,New York,Engineering
APP-0161,Applicant 161,2026-04-02,3,Masters,Final,62,91,Rejected,San Francisco,Product
APP-0162,Applicant 162,2026-04-01,10,PhD,HR,75,67,In Progress,London,Marketing
APP-0163,Applicant 163,2026-03-31,2,High School,Technical,88,84,In Progress,Remote,Sales
APP-0164,Applicant 164,2026-03-30,9,Bachelors,Screening,60,60,In Progress,Austin,Engineering
APP-0165,Applicant 165,2026-03-29,1,Masters,Final,73,77,Offer,New York,Product
APP-0166,Applicant 166,2026-03-28,8,PhD,HR,86,94,Rejected,San Francisco,Marketing
APP-0167,Applicant 167,2026-03-27,15,High School,Technical,99,70,In Progress,London,Sales
APP-0168,Applicant 168,2026-03-26,7,Bachelors,Screening,71,87,In Progress,Remote,Engineering
APP-0169,Applicant 169,2026-03-25,14,Masters,Final,84,63,In Progress,Austin,Product
APP-0170,Applicant 170,2026-03-24,6,PhD,HR,97,80,Offer,New York,Marketing
APP-0171,Applicant 171,2026-03-23,13,High School,Technical,69,97,Rejected,San Francisco,Sales
APP-0172,Applicant 172,2026-03-22,5,Bachelors,Screening,82,73,In Progress,London,Engineering
APP-0173,Applicant 173,2026-03-21,12,Masters,Final,95,90,In Progress,Remote,Product
APP-0174,Applicant 174,2026-03-20,4,PhD,HR,67,66,In Progress,Austin,Marketing
APP-0175,Applicant 175,2026-03-19,11,High School,Technical,80,83,Offer,New York,Sales
APP-0176,Applicant 176,2026-03-18,3,Bachelors,Screening,93,100,Rejected,San Francisco,Engineering
APP-0177,Applicant 177,2026-03-17,10,Masters,Final,65,76,In Progress,London,Product
APP-0178,Applicant 178,2026-03-16,2,PhD,HR,78,93,In Progress,Remote,Marketing
APP-0179,Applicant 179,2026-03-15,9,High School,Technical,91,69,In Progress,Austin,Sales
APP-0180,Applicant 180,2026-03-14,1,Bachelors,Screening,63,86,Offer,New York,Engineering
APP-0181,Applicant 181,2026-03-13,8,Masters,Final,76,62,Rejected,San Francisco,Product
APP-0182,Applicant 182,2026-03-12,15,PhD,HR,89,79,In Progress,London,Marketing
APP-0183,Applicant 183,2026-03-11,7,High School,Technical,61,96,In Progress,Remote,Sales
APP-0184,Applicant 184,2026-03-10,14,Bachelors,Screening,74,72,In Progress,Austin,Engineering
APP-0185,Applicant 185,2026-03-09,6,Masters,Final,87,89,Offer,New York,Product
APP-0186,Applicant 186,2026-03-08,13,PhD,HR,100,65,Rejected,San Francisco,Marketing
APP-0187,Applicant 187,2026-03-07,5,High School,Technical,72,82,In Progress,London,Sales
APP-0188,Applicant 188,2026-03-06,12,Bachelors,Screening,85,99,In Progress,Remote,Engineering
APP-0189,Applicant 189,2026-03-05,4,Masters,Final,98,75,In Progress,Austin,Product
APP-0190,Applicant 190,2026-03-04,11,PhD,HR,70,92,Offer,New York,Marketing
APP-0191,Applicant 191,2026-03-03,3,High School,Technical,83,68,Rejected,San Francisco,Sales
APP-0192,Applicant 192,2026-03-02,10,Bachelors,Screening,96,85,In Progress,London,Engineering
APP-0193,Applicant 193,2026-03-01,2,Masters,Final,68,61,In Progress,Remote,Product
APP-0194,Applicant 194,2026-02-28,9,PhD,HR,81,78,In Progress,Austin,Marketing
APP-0195,Applicant 195,2026-02-27,1,High School,Technical,94,95,Offer,New York,Sales
APP-0196,Applicant 196,2026-02-26,8,Bachelors,Screening,66,71,Rejected,San Francisco,Engineering
APP-0197,Applicant 197,2026-02-25,15,Masters,Final,79,88,In Progress,London,Product
APP-0198,Applicant 198,2026-02-24,7,PhD,HR,92,64,In Progress,Remote,Marketing
APP-0199,Applicant 199,2026-02-23,14,High School,Technical,64,81,In Progress,Austin,Sales
APP-0200,Applicant 200,2026-02-22,6,Bachelors,Screening,77,98,Offer,New York,Engineering
APP-0201,Applicant 201,2026-02-21,13,Masters,Final,90,74,Rejected,San Francisco,Product
APP-0202,Applicant 202,2026-02-20,5,PhD,HR,62,91,In Progress,London,Marketing
APP-0203,Applicant 203,2026-02-19,12,High School,Technical,75,67,In Progress,Remote,Sales
APP-0204,Applicant 204,2026-02-18,4,Bachelors,Screening,88,84,In Progress,Austin,Engineering
APP-0205,Applicant 205,2026-02-17,11,Masters,Final,60,60,Offer,New York,Product
APP-0206,Applicant 206,2026-02-16,3,PhD,HR,73,77,Rejected,San Francisco,Marketing
APP-0207,Applicant 207,2026-02-15,10,High School,Technical,86,94,In Progress,London,Sales
APP-0208,Applicant 208,2026-02-14,2,Bachelors,Screening,99,70,In Progress,Remote,Engineering
APP-0209,Applicant 209,2026-02-13,9,Masters,Final,71,87,In Progress,Austin,Product
APP-0210,Applicant 210,2026-02-12,1,PhD,HR,84,63,Offer,New York,Marketing
APP-0211,Applicant 211,2026-02-11,8,High School,Technical,97,80,Rejected,San Francisco,Sales
APP-0212,Applicant 212,2026-02-10,15,Bachelors,Screening,69,97,In Progress,London,Engineering
APP-0213,Applicant 213,2026-02-09,7,Masters,Final,82,73,In Progress,Remote,Product
APP-0214,Applicant 214,2026-02-08,14,PhD,HR,95,90,In Progress,Austin,Marketing
APP-0215,Applicant 215,2026-02-07,6,High School,Technical,67,66,Offer,New York,Sales
APP-0216,Applicant 216,2026-02-06,13,Bachelors,Screening,80,83,Rejected,San Francisco,Engineering
APP-0217,Applicant 217,2026-02-05,5,Masters,Final,93,100,In Progress,London,Product
APP-0218,Applicant 218,2026-02-04,12,PhD,HR,65,76,In Progress,Remote,Marketing
APP-0219,Applicant 219,2026-02-03,4,High School,Technical,78,93,In Progress,Austin,Sales
APP-0220,Applicant 220,2026-02-02,11,Bachelors,Screening,91,69,Offer,New York,Engineering
APP-0221,Applicant 221,2026-02-01,3,Masters,Final,63,86,Rejected,San Francisco,Product
APP-0222,Applicant 222,2026-01-31,10,PhD,HR,76,62,In Progress,London,Marketing
APP-0223,Applicant 223,2026-01-30,2,High School,Technical,89,79,In Progress,Remote,Sales
APP-0224,Applicant 224,2026-01-29,9,Bachelors,Screening,61,96,In Progress,Austin,Engineering
APP-0225,Applicant 225,2026-01-28,1,Masters,Final,74,72,Offer,New York,Product
APP-0226,Applicant 226,2026-01-27,8,PhD,HR,87,89,Rejected,San Francisco,Marketing
APP-0227,Applicant 227,2026-01-26,15,High School,Technical,100,65,In Progress,London,Sales
APP-0228,Applicant 228,2026-01-25,7,Bachelors,Screening,72,82,In Progress,Remote,Engineering
APP-0229,Applicant 229,2026-01-24,14,Masters,Final,85,99,In Progress,Austin,Product
APP-0230,Applicant 230,2026-01-23,6,PhD,HR,98,75,Offer,New York,Marketing
APP-0231,Applicant 231,2026-01-22,13,High School,Technical,70,92,Rejected,San Francisco,Sales
APP-0232,Applicant 232,2026-01-21,5,Bachelors,Screening,83,68,In Progress,London,Engineering
APP-0233,Applicant 233,2026-01-20,12,Masters,Final,96,85,In Progress,Remote,Product
APP-0234,Applicant 234,2026-01-19,4,PhD,HR,68,61,In Progress,Austin,Marketing
APP-0235,Applicant 235,2026-01-18,11,High School,Technical,81,78,Offer,New York,Sales
APP-0236,Applicant 236,2026-01-17,3,Bachelors,Screening,94,95,Rejected,San Francisco,Engineering
APP-0237,Applicant 237,2026-01-16,10,Masters,Final,66,71,In Progress,London,Product
APP-0238,Applicant 238,2026-01-15,2,PhD,HR,79,88,In Progress,Remote,Marketing
APP-0239,Applicant 239,2026-01-14,9,High School,Technical,92,64,In Progress,Austin,Sales
APP-0240,Applicant 240,2026-01-13,1,Bachelors,Screening,64,81,Offer,New York,Engineering
APP-0241,Applicant 241,2026-01-12,8,Masters,Final,77,98,Rejected,San Francisco,Product
APP-0242,Applicant 242,2026-01-11,15,PhD,HR,90,74,In Progress,London,Marketing
APP-0243,Applicant 243,2026-01-10,7,High School,Technical,62,91,In Progress,Remote,Sales
APP-0244,Applicant 244,2026-01-09,14,Bachelors,Screening,75,67,In Progress,Austin,Engineering
APP-0245,Applicant 245,2026-01-08,6,Masters,Final,88,84,Offer,New York,Product
APP-0246,Applicant 246,2026-01-07,13,PhD,HR,60,60,Rejected,San Francisco,Marketing
APP-0247,Applicant 247,2026-01-06,5,High School,Technical,73,77,In Progress,London,Sales
APP-0248,Applicant 248,2026-01-05,12,Bachelors,Screening,86,94,In Progress,Remote,Engineering
APP-0249,Applicant 249,2026-01-04,4,Masters,Final,99,70,In Progress,Austin,Product
APP-0250,Applicant 250,2026-01-03,11,PhD,HR,71,87,Offer,New York,Marketing
APP-0251,Applicant 251,2026-01-02,3,High School,Technical,84,63,Rejected,San Francisco,Sales
APP-0252,Applicant 252,2026-01-01,10,Bachelors,Screening,97,80,In Progress,London,Engineering
APP-0253,Applicant 253,2025-12-31,2,Masters,Final,69,97,In Progress,Remote,Product
APP-0254,Applicant 254,2025-12-30,9,PhD,HR,82,73,In Progress,Austin,Marketing
APP-0255,Applicant 255,2025-12-29,1,High School,Technical,95,90,Offer,New York,Sales
APP-0256,Applicant 256,2025-12-28,8,Bachelors,Screening,67,66,Rejected,San Francisco,Engineering
APP-0257,Applicant 257,2025-12-27,15,Masters,Final,80,83,In Progress,London,Product
APP-0258,Applicant 258,2025-12-26,7,PhD,HR,93,100,In Progress,Remote,Marketing
APP-0259,Applicant 259,2025-12-25,14,High School,Technical,65,76,In Progress,Austin,Sales
APP-0260,Applicant 260,2025-12-24,6,Bachelors,Screening,78,93,Offer,New York,Engineering
APP-0261,Applicant 261,2025-12-23,13,Masters,Final,91,69,Rejected,San Francisco,Product
APP-0262,Applicant 262,2025-12-22,5,PhD,HR,63,86,In Progress,London,Marketing
APP-0263,Applicant 263,2025-12-21,12,High School,Technical,76,62,In Progress,Remote,Sales
APP-0264,Applicant 264,2025-12-20,4,Bachelors,Screening,89,79,In Progress,Austin,Engineering
APP-0265,Applicant 265,2025-12-19,11,Masters,Final,61,96,Offer,New York,Product
APP-0266,Applicant 266,2025-12-18,3,PhD,HR,74,72,Rejected,San Francisco,Marketing
APP-0267,Applicant 267,2025-12-17,10,High School,Technical,87,89,In Progress,London,Sales
APP-0268,Applicant 268,2025-12-16,2,Bachelors,Screening,100,65,In Progress,Remote,Engineering
APP-0269,Applicant 269,2025-12-15,9,Masters,Final,72,82,In Progress,Austin,Product
APP-0270,Applicant 270,2025-12-14,1,PhD,HR,85,99,Offer,New York,Marketing
APP-0271,Applicant 271,2025-12-13,8,High School,Technical,98,75,Rejected,San Francisco,Sales
APP-0272,Applicant 272,2025-12-12,15,Bachelors,Screening,70,92,In Progress,London,Engineering
APP-0273,Applicant 273,2025-12-11,7,Masters,Final,83,68,In Progress,Remote,Product
APP-0274,Applicant 274,2025-12-10,14,PhD,HR,96,85,In Progress,Austin,Marketing
APP-0275,Applicant 275,2025-12-09,6,High School,Technical,68,61,Offer,New York,Sales
APP-0276,Applicant 276,2025-12-08,13,Bachelors,Screening,81,78,Rejected,San Francisco,Engineering
APP-0277,Applicant 277,2025-12-07,5,Masters,Final,94,95,In Progress,London,Product
APP-0278,Applicant 278,2025-12-06,12,PhD,HR,66,71,In Progress,Remote,Marketing
APP-0279,Applicant 279,2025-12-05,4,High School,Technical,79,88,In Progress,Austin,Sales
APP-0280,Applicant 280,2025-12-04,11,Bachelors,Screening,92,64,Offer,New York,Engineering
APP-0281,Applicant 281,2025-12-03,3,Masters,Final,64,81,Rejected,San Francisco,Product
APP-0282,Applicant 282,2025-12-02,10,PhD,HR,77,98,In Progress,London,Marketing
APP-0283,Applicant 283,2025-12-01,2,High School,Technical,90,74,In Progress,Remote,Sales
APP-0284,Applicant 284,2025-11-30,9,Bachelors,Screening,62,91,In Progress,Austin,Engineering
APP-0285,Applicant 285,2025-11-29,1,Masters,Final,75,67,Offer,New York,Product
APP-0286,Applicant 286,2025-11-28,8,PhD,HR,88,84,Rejected,San Francisco,Marketing
APP-0287,Applicant 287,2025-11-27,15,High School,Technical,60,60,In Progress,London,Sales
APP-0288,Applicant 288,2025-11-26,7,Bachelors,Screening,73,77,In Progress,Remote,Engineering
APP-0289,Applicant 289,2025-11-25,14,Masters,Final,86,94,In Progress,Austin,Product
APP-0290,Applicant 290,2025-11-24,6,PhD,HR,99,70,Offer,New York,Marketing
APP-0291,Applicant 291,2025-11-23,13,High School,Technical,71,87,Rejected,San Francisco,Sales
APP-0292,Applicant 292,2025-11-22,5,Bachelors,Screening,84,63,In Progress,London,Engineering
APP-0293,Applicant 293,2025-11-21,12,Masters,Final,97,80,In Progress,Remote,Product
APP-0294,Applicant 294,2025-11-20,4,PhD,HR,69,97,In Progress,Austin,Marketing
APP-0295,Applicant 295,2025-11-19,11,High School,Technical,82,73,Offer,New York,Sales
APP-0296,Applicant 296,2025-11-18,3,Bachelors,Screening,95,90,Rejected,San Francisco,Engineering
APP-0297,Applicant 297,2025-11-17,10,Masters,Final,67,66,In Progress,London,Product
